ibgeID,id,lat,lon,longName
2606101,Glória do Goitá/PE,-7.999959,-35.2866116,"Glória do Goitá, Região Geográfica Imediata de Vitória de Santo Antão, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 55620-000, Brasil"
2606200,Goiana/PE,-7.560603,-34.99591,"Goiana, Região Geográfica Imediata de Goiana-Timbaúba, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 55900-000, Brasil"
2606309,Granito/PE,-7.7145682,-39.6164505,"Granito, Região Geográfica Imediata de Araripina, Região Geográfica Intermediária de Petrolina, Pernambuco, Região Nordeste, 56160-000, Brasil"
2606408,Gravatá/PE,-8.1993049,-35.5631137,"Gravatá, Região Geográfica Imediata de Caruaru, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, Brasil"
2606507,Iati/PE,-9.0426669,-36.8466803,"Iati, Região Geográfica Imediata de Garanhuns, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, Brasil"
2606606,Ibimirim/PE,-8.5379259,-37.6941375,"Ibimirim, Região Geográfica Imediata de Arcoverde, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, 56580-000, Brasil"
2606705,Ibirajuba/PE,-8.5795521,-36.178045,"Ibirajuba, Região Geográfica Imediata de Caruaru, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, Brasil"
2606804,Igarassu/PE,-7.8354423,-34.9061125,"Igarassu, Região Geográgica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, Brasil"
2606903,Iguaracy/PE,-7.8363415,-37.5140407,"Iguaracy, Microrregião de Pajeú, Região Geográfica Intermediária de Serra Talhada, Pernambuco, Região Nordeste, Brasil"
2607000,Inajá/PE,-8.9011209,-37.8244194,"Inajá, Região Geográfica Imediata de Arcoverde, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, 56560-000, Brasil"
2607109,Ingazeira/PE,-7.6773108,-37.4598895,"Ingazeira, Microrregião de Pajeú, Região Geográfica Intermediária de Serra Talhada, Pernambuco, Região Nordeste, Brasil"
2607208,Ipojuca/PE,-8.3980773,-35.0611068,"Ipojuca, Região Geográgica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, Brasil"
2607307,Ipubi/PE,-7.6535334,-40.1494078,"Ipubi, Região Geográfica Imediata de Araripina, Região Geográfica Intermediária de Petrolina, Pernambuco, Região Nordeste, Brasil"
2607406,Itacuruba/PE,-8.7266151,-38.6868754,"Itacuruba, Região Geográfica Imediata de Salgueiro, Região Geográfica Intermediária de Petrolina, Pernambuco, Região Nordeste, 56430-000, Brasil"
2607505,Itaíba/PE,-8.94675,-37.421188,"Itaíba, Região Geográfica Imediata de Arcoverde, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, 56550-000, Brasil"
2607604,Ilha de Itamaracá/PE,-7.747664,-34.830319,"Ilha de Itamaracá, Região Geográgica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, Brasil"
2607653,Itambé/PE,-7.4108509,-35.10967,"Itambé, Região Geográfica Imediata de Goiana-Timbaúba, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 55920-000, Brasil"
2607703,Itapetim/PE,-7.377514,-37.1887321,"Itapetim, Microrregião de Pajeú, Região Geográfica Intermediária de Serra Talhada, Pernambuco, Região Nordeste, Brasil"
2607752,Itapissuma/PE,-7.767983,-34.897136,"Itapissuma, Região Geográgica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 53700-000, Brasil"
2607802,Itaquitinga/PE,-7.6642569,-35.1023615,"Itaquitinga, Região Geográfica Imediata de Goiana-Timbaúba, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 55950-000, Brasil"
2607901,Jaboatão dos Guararapes/PE,-8.1752476,-34.9468716,"Jaboatão dos Guararapes, Região Geográgica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, Brasil"
2607950,Jaqueira/PE,-8.7276422,-35.7948925,"Jaqueira, Microrregião da Mata Meridional Pernambucana, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, Brasil"
2608008,Jataúba/PE,-7.9860545,-36.4980118,"Jataúba, Região Geográfica Imediata de Caruaru, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, Brasil"
2608057,Jatobá/PE,-9.1832353,-38.2672047,"Jatobá, Região Geográfica Imediata de Serra Talhada, Região Geográfica Intermediária de Serra Talhada, Pernambuco, Região Nordeste, 56470-000, Brasil"
2608107,João Alfredo/PE,-7.8608755,-35.591575,"João Alfredo, Região Geográfica Imediata de Limoeiro, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 55720-000, Brasil"
2608206,Joaquim Nabuco/PE,-8.6233192,-35.5264107,"Joaquim Nabuco, Microrregião da Mata Meridional Pernambucana, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, Brasil"
2608255,Jucati/PE,-8.7065829,-36.4870496,"Jucati, Região Geográfica Imediata de Garanhuns, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, Brasil"
2608305,Jupi/PE,-8.7114677,-36.417448,"Jupi, Região Geográfica Imediata de Garanhuns, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, 55395-000, Brasil"
2608404,Jurema/PE,-8.7189103,-36.137365,"Jurema, Região Geográfica Imediata de Garanhuns, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, 55480-000, Brasil"
2608453,Lagoa do Carro/PE,-7.843834,-35.310783,"Lagoa do Carro, Região Geográfica Imediata de Carpina, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 55820-000, Brasil"
2608503,Lagoa de Itaenga/PE,-7.9335596,-35.2919789,"Lagoa de Itaenga, Região Geográfica Imediata de Carpina, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, Brasil"
2608602,Lagoa do Ouro/PE,-9.1245839,-36.459656,"Lagoa do Ouro, Região Geográfica Imediata de Garanhuns, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, 55320-000, Brasil"
2608701,Lagoa dos Gatos/PE,-8.6537614,-35.9045124,"Lagoa dos Gatos, Região Geográfica Imediata de Caruaru, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, Brasil"
2608750,Lagoa Grande/PE,-8.9930649,-40.2716452,"Lagoa Grande, Região Geográfica Imediata de Petrolina, Região Administrativa Integrada de Desenvolvimento do Polo Petrolina e Juazeiro, Região Geográfica Intermediária de Petrolina, Pernambuco, Região Nordeste, 56395-000, Brasil"
2608800,Lajedo/PE,-8.657914,-36.329336,"Lajedo, Região Geográfica Imediata de Garanhuns, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, 55385-000, Brasil"
2608909,Limoeiro/PE,-7.872599,-35.440154,"Limoeiro, Região Geográfica Imediata de Limoeiro, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 55700-000, Brasil"
2609006,Macaparana/PE,-7.54122565,-35.449102477927944,"Macaparana, Região Geográfica Imediata de Goiana-Timbaúba, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 55865-000, Brasil"
2609105,Machados/PE,-7.6876999,-35.5126635,"Machados, Região Geográfica Imediata de Limoeiro, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 55740-000, Brasil"
2609154,Manari/PE,-8.9616166,-37.624648,"Manari, Região Geográfica Imediata de Arcoverde, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, 56565-000, Brasil"
2609204,Maraial/PE,-8.7823791,-35.8113151,"Maraial, Microrregião da Mata Meridional Pernambucana, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 55405-000, Brasil"
2609303,Mirandiba/PE,-8.1202103,-38.728459,"Mirandiba, Região Geográfica Imediata de Salgueiro, Região Geográfica Intermediária de Serra Talhada, Pernambuco, Região Nordeste, Brasil"
2609402,Moreno/PE,-8.108706,-35.08354,"Moreno, Região Geográgica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 54800-000, Brasil"
