ibge,city,state,region,pop2019,pop2020,pop2021,isCountryside,cod_RegiaoDeSaude,name_RegiaoDeSaude,ibge_id
2608453,Lagoa do Carro/PE,PE,Nordeste,18071,18252,18429,1,26006,Limoeiro,2608453
2608503,Lagoa de Itaenga/PE,PE,Nordeste,21429,21460,21490,1,26006,Limoeiro,2608503
2608602,Lagoa do Ouro/PE,PE,Nordeste,13145,13224,13300,1,26004,Garanhuns,2608602
2608701,Lagoa dos Gatos/PE,PE,Nordeste,16290,16318,16345,1,26008,Palmares,2608701
2608750,Lagoa Grande/PE,PE,Nordeste,25601,25849,26090,1,26009,Petrolina,2608750
2608800,Lajedo/PE,PE,Nordeste,40288,40589,40883,1,26004,Garanhuns,2608800
2608909,Limoeiro/PE,PE,Nordeste,56250,56198,56149,1,26006,Limoeiro,2608909
2609006,Macaparana/PE,PE,Nordeste,25376,25472,25565,1,26005,Goiana,2609006
2609105,Machados/PE,PE,Nordeste,16088,16321,16549,1,26006,Limoeiro,2609105
2609154,Manari/PE,PE,Nordeste,21434,21776,22110,1,26002,Arcoverde,2609154
2609204,Maraial/PE,PE,Nordeste,11345,11220,11098,1,26008,Palmares,2609204
2609303,Mirandiba/PE,PE,Nordeste,15390,15470,15548,1,26011,Salgueiro,2609303
2609402,Moreno/PE,PE,Nordeste,62784,63294,63792,0,26010,Recife,2609402
2609501,Nazaré da Mata/PE,PE,Nordeste,32471,32573,32673,1,26006,Limoeiro,2609501
2609600,Olinda/PE,PE,Nordeste,392482,393115,393734,0,26010,Recife,2609600
2609709,Orobó/PE,PE,Nordeste,23884,23935,23985,1,26006,Limoeiro,2609709
2609808,Orocó/PE,PE,Nordeste,14991,15152,15309,1,26009,Petrolina,2609808
2609907,Ouricuri/PE,PE,Nordeste,69459,69969,70466,1,26007,Ouricuri,2609907
2610004,Palmares/PE,PE,Nordeste,63250,63500,63745,1,26008,Palmares,2610004
2610103,Palmeirina/PE,PE,Nordeste,7693,7600,7509,1,26004,Garanhuns,2610103
2610202,Panelas/PE,PE,Nordeste,26474,26456,26438,1,26003,Caruaru,2610202
2610301,Paranatama/PE,PE,Nordeste,11523,11566,11608,1,26004,Garanhuns,2610301
2610400,Parnamirim/PE,PE,Nordeste,22010,22106,22198,1,26007,Ouricuri,2610400
2610509,Passira/PE,PE,Nordeste,28933,28894,28856,1,26006,Limoeiro,2610509
2610608,Paudalho/PE,PE,Nordeste,56506,56933,57346,1,26006,Limoeiro,2610608
2610707,Paulista/PE,PE,Nordeste,331774,334376,336919,0,26010,Recife,2610707
2610806,Pedra/PE,PE,Nordeste,22617,22668,22716,1,26002,Arcoverde,2610806
2610905,Pesqueira/PE,PE,Nordeste,67395,67735,68067,1,26003,Caruaru,2610905
