type,name,lat,lon,total,total_per_100k_inhabitants
D1,Alagoinhas/BA,-12.133526,-38.420772,328,214.34686
1,Alambari/SP,-23.550338,-47.897971,686,11009.46879
D1,Alambari/SP,-23.550338,-47.897971,12,192.58546
1,Albertina/MG,-20.66164,-43.784039,413,13698.17579
D1,Albertina/MG,-20.66164,-43.784039,11,364.84245
1,Alcantil/PB,-7.7425491,-36.0609604,801,14492.49141
D1,Alcantil/PB,-7.7425491,-36.0609604,8,144.74398
1,Alcinópolis/MS,-18.3264121,-53.7094463,431,7852.06777
D1,Alcinópolis/MS,-18.3264121,-53.7094463,11,200.40080
1,Alcobaça/BA,-17.5215875,-39.1965474,1858,8254.47599
D1,Alcobaça/BA,-17.5215875,-39.1965474,31,137.72269
1,Alcântara/MA,-2.4038956,-44.4154241,336,1518.57543
D1,Alcântara/MA,-2.4038956,-44.4154241,19,85.87183
1,Alcântaras/CE,-3.586247,-40.5457641,1841,15541.11092
D1,Alcântaras/CE,-3.586247,-40.5457641,22,185.71670
1,Aldeias Altas/MA,-4.6291957,-43.4708622,977,3621.33511
D1,Aldeias Altas/MA,-4.6291957,-43.4708622,14,51.89221
1,Alecrim/RS,-27.6566142,-54.7653195,318,5569.17688
D1,Alecrim/RS,-27.6566142,-54.7653195,12,210.15762
1,Alegre/ES,-20.7625787,-41.5318886,3842,12862.83438
D1,Alegre/ES,-20.7625787,-41.5318886,81,271.18417
1,Alegrete do Piauí/PI,-7.2440138,-40.8602296,530,10770.16866
D1,Alegrete do Piauí/PI,-7.2440138,-40.8602296,9,182.88966
1,Alegrete/RS,-29.790166,-55.794862,12039,16607.12069
D1,Alegrete/RS,-29.790166,-55.794862,301,415.21250
1,Alegria/RS,-27.8332103,-54.0574959,399,12138.72832
D1,Alegria/RS,-27.8332103,-54.0574959,4,121.69151
1,Alenquer/PA,-1.946229,-54.738355,3901,6797.35145
D1,Alenquer/PA,-1.946229,-54.738355,148,257.88465
1,Alexandria/RN,-6.414779,-38.0135516,1929,14258.26003
D1,Alexandria/RN,-6.414779,-38.0135516,32,236.52894
1,Alexânia/GO,-16.0834049,-48.5077803,4441,15659.37941
D1,Alexânia/GO,-16.0834049,-48.5077803,104,366.71368
1,Alfenas/MG,-21.4297405,-45.9479419,12805,15813.91328
D1,Alfenas/MG,-21.4297405,-45.9479419,218,269.22554
1,Alfredo Chaves/ES,-20.624970400000002,-40.75006690147988,2957,20156.78255
D1,Alfredo Chaves/ES,-20.624970400000002,-40.75006690147988,43,293.11520
1,Alfredo Marcondes/SP,-21.9527,-51.413956,284,6760.29517
D1,Alfredo Marcondes/SP,-21.9527,-51.413956,15,357.05784
1,Alfredo Vasconcelos/MG,-21.145833,-43.776389,738,10465.11628
D1,Alfredo Vasconcelos/MG,-21.145833,-43.776389,16,226.88599
1,Alfredo Wagner/SC,-27.6961513,-49.3326734,1128,11128.65036
D1,Alfredo Wagner/SC,-27.6961513,-49.3326734,8,78.92660
1,Algodão de Jandaíra/PB,-6.9040175,-36.0089879,324,12519.31994
D1,Algodão de Jandaíra/PB,-6.9040175,-36.0089879,1,38.63988
1,Alhandra/PB,-7.4304246,-34.9106103,2556,12866.85125
D1,Alhandra/PB,-7.4304246,-34.9106103,40,201.35917
1,Aliança do Tocantins/TO,-11.3055927,-48.9409096,921,17367.52781
D1,Aliança do Tocantins/TO,-11.3055927,-48.9409096,25,471.43127
1,Aliança/PE,-7.60398,-35.222696,1097,2856.17580
D1,Aliança/PE,-7.60398,-35.222696,75,195.27182
1,Almadina/BA,-14.70466,-39.6381994,656,12440.73582
D1,Almadina/BA,-14.70466,-39.6381994,12,227.57444
1,Almas/TO,-11.5681309,-47.1702803,239,3461.25996
D1,Almas/TO,-11.5681309,-47.1702803,5,72.41130
1,Almeirim/PA,-1.5290377,-52.5788111,3854,11320.64387
D1,Almeirim/PA,-1.5290377,-52.5788111,52,152.74351
1,Almenara/MG,-16.1740678,-40.6904907,4569,10781.02879
D1,Almenara/MG,-16.1740678,-40.6904907,53,125.05899
1,Almino Afonso/RN,-6.1544208,-37.7649018,511,10907.15048
D1,Almino Afonso/RN,-6.1544208,-37.7649018,13,277.48132
1,Almirante Tamandaré do Sul/RS,-28.1141129,-52.9134874,394,20361.75711
D1,Almirante Tamandaré do Sul/RS,-28.1141129,-52.9134874,7,361.75711
1,Almirante Tamandaré/PR,-25.3133048,-49.2997838,11966,9855.04859
D1,Almirante Tamandaré/PR,-25.3133048,-49.2997838,441,363.20211
1,Aloândia/GO,-17.7277983,-49.4809338,336,17004.04858
D1,Aloândia/GO,-17.7277983,-49.4809338,11,556.68016
1,Alpercata/MG,-18.9803616,-41.9827637,570,7653.06122
D1,Alpercata/MG,-18.9803616,-41.9827637,21,281.95489
1,Alpestre/RS,-27.2512339,-53.0349646,723,12285.47154
D1,Alpestre/RS,-27.2512339,-53.0349646,17,288.87001
1,Alpinópolis/MG,-20.863611,-46.387777,2224,11087.29249
D1,Alpinópolis/MG,-20.863611,-46.387777,47,234.30879
1,Alta Floresta D'Oeste/RO,-11.9296917,-61.9961284,4961,22033.22082
D1,Alta Floresta D'Oeste/RO,-11.9296917,-61.9961284,75,333.09646
1,Alta Floresta/MT,-9.8715018,-56.0839881,11946,22926.78246
D1,Alta Floresta/MT,-9.8715018,-56.0839881,156,299.39545
1,Altair/SP,-20.5238955,-49.0606135,312,7409.16647
D1,Altair/SP,-20.5238955,-49.0606135,17,403.70458
1,Altamira do Maranhão/MA,-4.1643006,-45.4674574,406,4921.21212
D1,Altamira do Maranhão/MA,-4.1643006,-45.4674574,14,169.69697
1,Altamira do Paraná/PR,-24.799114,-52.7128633,315,22043.38698
D1,Altamira do Paraná/PR,-24.799114,-52.7128633,13,909.72708
1,Altamira/PA,-3.204065,-52.209961,17070,14549.94886
D1,Altamira/PA,-3.204065,-52.209961,344,293.21514
1,Altaneira/CE,-6.9980933,-39.7385742,757,9815.87137
D1,Altaneira/CE,-6.9980933,-39.7385742,18,233.40249
1,Alterosa/MG,-21.249166,-46.143055,1064,7304.68214
D1,Alterosa/MG,-21.249166,-46.143055,38,260.88150
1,Altinho/PE,-8.4904095,-36.0607494,1384,6018.43799
D1,Altinho/PE,-8.4904095,-36.0607494,30,130.45747
1,Altinópolis/SP,-21.021364,-47.3712,1047,6454.59589
D1,Altinópolis/SP,-21.021364,-47.3712,56,345.23149
1,Alto Alegre do Maranhão/MA,-4.2055693,-44.4525287,1570,5593.95710
D1,Alto Alegre do Maranhão/MA,-4.2055693,-44.4525287,29,103.32787
1,Alto Alegre do Pindaré/MA,-3.6698186,-45.8462153,2324,7269.99718
D1,Alto Alegre do Pindaré/MA,-3.6698186,-45.8462153,55,172.05243
1,Alto Alegre dos Parecis/RO,-12.1314515,-61.856265,1639,12353.02985
D1,Alto Alegre dos Parecis/RO,-12.1314515,-61.856265,47,354.23576
1,Alto Alegre/RR,2.98858,-61.307167,1754,11502.39360
D1,Alto Alegre/RR,2.98858,-61.307167,39,255.75448
1,Alto Alegre/RS,-31.780844700000003,-52.81311114489171,251,15786.16352
D1,Alto Alegre/RS,-31.780844700000003,-52.81311114489171,2,125.78616
1,Alto Alegre/SP,-21.5820592,-50.1661976,403,9882.29524
D1,Alto Alegre/SP,-21.5820592,-50.1661976,22,539.48014
1,Alto Araguaia/MT,-17.3156528,-53.2169365,1923,9754.48920
D1,Alto Araguaia/MT,-17.3156528,-53.2169365,31,157.24866
1,Alto Bela Vista/SC,-27.4320737,-51.905771,215,11227.15405
D1,Alto Bela Vista/SC,-27.4320737,-51.905771,3,156.65796
