country,state,city,ibgeID,deaths,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source,date,newCases,newDeaths,last_info_date
Brazil,CE,Alcântaras/CE,2300507,23,2207,194.15837,18630.76144,0.01042,MS,2022-06-03,0,0,2022-06-03
Brazil,MA,Aldeias Altas/MA,2100303,14,1159,51.89221,4295.93387,0.01208,MS,2022-06-03,0,0,2022-06-03
Brazil,RS,Alecrim/RS,4300307,13,618,227.67075,10823.11734,0.02104,MS,2022-06-03,2,0,2022-06-03
Brazil,ES,Alegre/ES,3200201,85,7400,284.57598,24774.85018,0.01149,MS,2022-06-03,8,0,2022-06-03
Brazil,PI,Alegrete do Piauí/PI,2200277,9,583,182.88966,11847.18553,0.01544,MS,2022-06-03,0,0,2022-06-03
Brazil,RS,Alegrete/RS,4300406,327,17235,451.07804,23774.70928,0.01897,MS,2022-06-03,20,0,2022-06-03
Brazil,RS,Alegria/RS,4300455,5,546,152.11439,16610.89139,0.00916,MS,2022-06-03,1,0,2022-06-03
Brazil,PA,Alenquer/PA,1500404,169,5275,294.47639,9191.49678,0.03204,MS,2022-06-03,0,0,2022-06-03
Brazil,RN,Alexandria/RN,2400505,33,2403,243.92047,17761.84493,0.01373,MS,2022-06-03,0,0,2022-06-03
Brazil,GO,Alexânia/GO,5200308,113,6127,398.44852,21604.37236,0.01844,MS,2022-06-03,19,0,2022-06-03
Brazil,MG,Alfenas/MG,3101607,247,21341,305.03995,26355.69881,0.01157,MS,2022-06-03,42,0,2022-06-03
Brazil,ES,Alfredo Chaves/ES,3200300,47,4364,320.38173,29747.78459,0.01077,MS,2022-06-03,5,0,2022-06-03
Brazil,SP,Alfredo Marcondes/SP,3500808,16,300,380.86170,7141.15687,0.05333,MS,2022-06-03,0,0,2022-06-03
Brazil,MG,Alfredo Vasconcelos/MG,3101631,16,1197,226.88599,16973.90811,0.01337,MS,2022-06-03,2,0,2022-06-03
Brazil,SC,Alfredo Wagner/SC,4200705,12,1448,118.38990,14285.71429,0.00829,MS,2022-06-03,0,0,2022-06-03
Brazil,PB,Algodão de Jandaíra/PB,2500577,1,471,38.63988,18199.38176,0.00212,MS,2022-06-03,0,0,2022-06-03
Brazil,PB,Alhandra/PB,2500601,47,3014,236.59703,15172.41379,0.01559,MS,2022-06-03,0,0,2022-06-03
Brazil,TO,Aliança do Tocantins/TO,1700350,25,1203,471.43127,22685.27249,0.02078,MS,2022-06-03,0,0,2022-06-03
Brazil,PE,Aliança/PE,2600708,82,2087,213.49719,5433.76380,0.03929,MS,2022-06-03,1,0,2022-06-03
Brazil,BA,Almadina/BA,2900900,13,771,246.53897,14621.65750,0.01686,MS,2022-06-03,0,0,2022-06-03
Brazil,TO,Almas/TO,1700400,5,313,72.41130,4532.94714,0.01597,MS,2022-06-03,0,0,2022-06-03
Brazil,PA,Almeirim/PA,1500503,55,4549,161.55563,13362.11961,0.01209,MS,2022-06-03,0,0,2022-06-03
Brazil,MG,Almenara/MG,3101706,65,6654,153.37423,15700.80227,0.00977,MS,2022-06-03,0,0,2022-06-03
Brazil,RN,Almino Afonso/RN,2400604,14,733,298.82604,15645.67769,0.01910,MS,2022-06-03,0,0,2022-06-03
Brazil,RS,Almirante Tamandaré do Sul/RS,4300471,7,554,361.75711,28630.49096,0.01264,MS,2022-06-03,0,0,2022-06-03
Brazil,PR,Almirante Tamandaré/PR,4100400,455,16437,374.73233,13537.30852,0.02768,MS,2022-06-03,40,0,2022-06-03
Brazil,GO,Aloândia/GO,5200506,11,378,556.68016,19129.55466,0.02910,MS,2022-06-03,0,0,2022-06-03
Brazil,MG,Alpercata/MG,3101805,23,583,308.80773,7827.60473,0.03945,MS,2022-06-03,0,0,2022-06-03
Brazil,RS,Alpestre/RS,4300505,17,1257,288.87001,21359.38828,0.01352,MS,2022-06-03,2,0,2022-06-03
Brazil,MG,Alpinópolis/MG,3101904,51,3948,254.24996,19681.93828,0.01292,MS,2022-06-03,36,0,2022-06-03
Brazil,RO,Alta Floresta D'Oeste/RO,1100015,81,8036,359.74418,35690.17587,0.01008,MS,2022-06-03,5,0,2022-06-03
Brazil,MT,Alta Floresta/MT,5100250,170,16635,326.26427,31925.91882,0.01022,MS,2022-06-03,12,0,2022-06-03
Brazil,SP,Altair/SP,3500907,18,320,427.45191,7599.14510,0.05625,MS,2022-06-03,0,0,2022-06-03
Brazil,MA,Altamira do Maranhão/MA,2100402,15,499,181.81818,6048.48485,0.03006,MS,2022-06-03,0,1,2022-06-03
Brazil,PR,Altamira do Paraná/PR,4100459,14,552,979.70609,38628.41148,0.02536,MS,2022-06-03,3,0,2022-06-03
Brazil,PA,Altamira/PA,1500602,351,21094,299.18173,17979.88408,0.01664,MS,2022-06-03,2,0,2022-06-03
Brazil,CE,Altaneira/CE,2300606,19,876,246.36929,11358.92116,0.02169,MS,2022-06-03,0,0,2022-06-03
Brazil,MG,Alterosa/MG,3102001,41,1884,281.47741,12934.23040,0.02176,MS,2022-06-03,179,0,2022-06-03
Brazil,PE,Altinho/PE,2600807,30,1692,130.45747,7357.80136,0.01773,MS,2022-06-03,0,0,2022-06-03
Brazil,SP,Altinópolis/SP,3501004,64,1231,394.55027,7588.92793,0.05199,MS,2022-06-03,0,0,2022-06-03
Brazil,MA,Alto Alegre do Maranhão/MA,2100436,29,2047,103.32787,7293.52241,0.01417,MS,2022-06-03,9,1,2022-06-03
Brazil,MA,Alto Alegre do Pindaré/MA,2100477,55,2503,172.05243,7829.94964,0.02197,MS,2022-06-03,0,1,2022-06-03
Brazil,RO,Alto Alegre dos Parecis/RO,1100379,50,2249,376.84655,16950.55773,0.02223,MS,2022-06-03,0,0,2022-06-03
Brazil,RR,Alto Alegre/RR,1400050,39,2219,255.75448,14551.77389,0.01758,MS,2022-06-03,0,0,2022-06-03
Brazil,RS,Alto Alegre/RS,4300554,2,415,125.78616,26100.62893,0.00482,MS,2022-06-03,0,0,2022-06-03
Brazil,SP,Alto Alegre/SP,3501103,23,408,564.00196,10004.90436,0.05637,MS,2022-06-03,0,0,2022-06-03
Brazil,MT,Alto Araguaia/MT,5100300,34,2839,172.46627,14400.93335,0.01198,MS,2022-06-03,6,0,2022-06-03
Brazil,SC,Alto Bela Vista/SC,4200754,3,444,156.65796,23185.37859,0.00676,MS,2022-06-03,0,0,2022-06-03
Brazil,MT,Alto Boa Vista/MT,5100359,19,1302,267.90750,18358.71404,0.01459,MS,2022-06-03,3,0,2022-06-03
Brazil,MG,Alto Caparaó/MG,3102050,9,555,151.56618,9346.58134,0.01622,MS,2022-06-03,0,0,2022-06-03
Brazil,RS,Alto Feliz/RS,4300570,4,702,131.44923,23069.33947,0.00570,MS,2022-06-03,5,0,2022-06-03
Brazil,MT,Alto Garças/MT,5100409,43,1447,348.94100,11742.27055,0.02972,MS,2022-06-03,0,0,2022-06-03
Brazil,GO,Alto Horizonte/GO,5200555,16,2320,235.43261,34137.72808,0.00690,MS,2022-06-03,0,0,2022-06-03
Brazil,MG,Alto Jequitibá/MG,3153509,13,1382,156.89114,16678.73522,0.00941,MS,2022-06-03,0,0,2022-06-03
Brazil,PI,Alto Longá/PI,2200301,15,858,104.37687,5970.35697,0.01748,MS,2022-06-03,0,0,2022-06-03
Brazil,MT,Alto Paraguai/MT,5100508,31,959,267.54121,8276.51679,0.03233,MS,2022-06-03,2,0,2022-06-03
Brazil,PR,Alto Paraná/PR,4100608,28,3048,187.35363,20394.78086,0.00919,MS,2022-06-03,7,0,2022-06-03
Brazil,GO,Alto Paraíso de Goiás/GO,5200605,10,1337,129.01561,17249.38718,0.00748,MS,2022-06-03,3,0,2022-06-03
Brazil,PR,Alto Paraíso/PR,4128625,10,1153,380.22814,43840.30418,0.00867,MS,2022-06-03,5,0,2022-06-03
Brazil,RO,Alto Paraíso/RO,1100403,63,3622,283.04430,16272.80079,0.01739,MS,2022-06-03,0,0,2022-06-03
Brazil,MA,Alto Parnaíba/MA,2100501,11,1021,97.92575,9089.29048,0.01077,MS,2022-06-03,0,0,2022-06-03
Brazil,PR,Alto Piquiri/PR,4100707,31,2469,318.86443,25396.00905,0.01256,MS,2022-06-03,2,0,2022-06-03
Brazil,MG,Alto Rio Doce/MG,3102100,31,994,289.09820,9269.79390,0.03119,MS,2022-06-03,0,0,2022-06-03
Brazil,ES,Alto Rio Novo/ES,3200359,28,1504,353.93756,19011.50297,0.01862,MS,2022-06-03,0,0,2022-06-03
Brazil,CE,Alto Santo/CE,2300705,42,2562,261.24277,15935.80892,0.01639,MS,2022-06-03,0,0,2022-06-03
Brazil,MT,Alto Taquari/MT,5100607,30,1673,262.85814,14658.72251,0.01793,MS,2022-06-03,0,0,2022-06-03
Brazil,RN,Alto do Rodrigues/RN,2400703,43,3606,288.14582,24164.04208,0.01192,MS,2022-06-03,0,0,2022-06-03
Brazil,PI,Altos/PI,2200400,108,5568,265.48020,13686.97918,0.01940,MS,2022-06-03,0,0,2022-06-03
Brazil,PR,Altônia/PR,4100509,53,4549,237.74279,20405.50846,0.01165,MS,2022-06-03,4,0,2022-06-03
Brazil,SP,Alumínio/SP,3501152,55,1701,290.95911,8998.57166,0.03233,MS,2022-06-03,0,0,2022-06-03
Brazil,MG,Alvarenga/MG,3102209,6,541,158.60428,14300.81946,0.01109,MS,2022-06-03,0,0,2022-06-03
Brazil,AM,Alvarães/AM,1300029,46,3704,280.55623,22590.87582,0.01242,MS,2022-06-03,0,0,2022-06-03
Brazil,SP,Alvinlândia/SP,3501509,10,150,307.59766,4613.96493,0.06667,MS,2022-06-03,0,0,2022-06-03
Brazil,MG,Alvinópolis/MG,3102308,25,1973,165.18005,13036.00925,0.01267,MS,2022-06-03,3,0,2022-06-03
Brazil,RO,Alvorada D'Oeste/RO,1100346,38,2410,275.22271,17454.91417,0.01577,MS,2022-06-03,4,0,2022-06-03
Brazil,MG,Alvorada de Minas/MG,3102407,4,459,110.95700,12732.31623,0.00871,MS,2022-06-03,0,0,2022-06-03
Brazil,PI,Alvorada do Gurguéia/PI,2200459,14,709,255.98830,12963.97879,0.01975,MS,2022-06-03,0,0,2022-06-03
Brazil,GO,Alvorada do Norte/GO,5200803,22,1233,251.45731,14093.03920,0.01784,MS,2022-06-03,0,0,2022-06-03
Brazil,PR,Alvorada do Sul/PR,4100806,34,1536,293.15399,13243.66270,0.02214,MS,2022-06-03,1,0,2022-06-03
Brazil,RS,Alvorada/RS,4300604,886,33761,417.23177,15898.60232,0.02624,MS,2022-06-03,88,0,2022-06-03
Brazil,TO,Alvorada/TO,1700707,32,2815,381.81601,33587.87734,0.01137,MS,2022-06-03,0,0,2022-06-03
Brazil,MG,Além Paraíba/MG,3101508,170,6108,479.71104,17235.73565,0.02783,MS,2022-06-03,0,0,2022-06-03
Brazil,RR,Amajari/RR,1400027,25,1358,184.35219,10014.01077,0.01841,MS,2022-06-03,0,0,2022-06-03
Brazil,MS,Amambai/MS,5000609,102,5872,253.43504,14589.90732,0.01737,MS,2022-06-03,2,0,2022-06-03
Brazil,PR,Amaporã/PR,4100905,8,951,124.90242,14847.77518,0.00841,MS,2022-06-03,0,0,2022-06-03
Brazil,MA,Amapá do Maranhão/MA,2100550,6,172,85.14261,2440.75493,0.03488,MS,2022-06-03,0,2,2022-06-03
