date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS
2020-03-16,Brazil,AL,TOTAL,0,0,0,1,0,1
2020-03-16,Brazil,AM,TOTAL,0,0,0,2,0,1
2020-03-16,Brazil,BA,TOTAL,0,0,1,10,0,2
2020-03-16,Brazil,CE,TOTAL,0,0,9,9,0,0
2020-03-16,Brazil,DF,TOTAL,0,0,5,19,0,13
2020-03-16,Brazil,ES,TOTAL,0,0,0,1,0,1
2020-03-16,Brazil,GO,TOTAL,0,0,5,9,0,3
2020-03-16,Brazil,MG,TOTAL,0,0,2,6,0,5
2020-03-16,Brazil,MS,TOTAL,0,0,2,4,0,2
2020-03-16,Brazil,PE,TOTAL,0,0,0,8,0,2
2020-03-16,Brazil,PR,TOTAL,0,0,0,6,0,6
2020-03-16,Brazil,RJ,TOTAL,0,0,7,31,0,31
2020-03-16,Brazil,RN,TOTAL,0,0,0,1,0,1
2020-03-16,Brazil,RS,TOTAL,0,0,2,8,0,6
2020-03-16,Brazil,SC,TOTAL,0,0,1,7,0,7
2020-03-16,Brazil,SE,TOTAL,0,0,4,5,0,1
2020-03-16,Brazil,SP,TOTAL,0,0,16,152,0,152
2020-03-16,Brazil,TOTAL,TOTAL,0,0,54,279,0,234
2020-03-17,Brazil,AC,TOTAL,0,0,3,3,0,0
2020-03-17,Brazil,AL,TOTAL,0,0,0,1,0,1
2020-03-17,Brazil,AM,TOTAL,0,0,0,2,0,1
2020-03-17,Brazil,BA,TOTAL,0,0,4,14,0,3
2020-03-17,Brazil,CE,TOTAL,0,0,1,10,0,5
2020-03-17,Brazil,DF,TOTAL,0,0,3,22,0,22
2020-03-17,Brazil,ES,TOTAL,0,0,0,1,0,1
2020-03-17,Brazil,GO,TOTAL,0,0,1,10,0,6
2020-03-17,Brazil,MG,TOTAL,0,0,8,14,0,7
2020-03-17,Brazil,MS,TOTAL,0,0,2,6,0,4
2020-03-17,Brazil,PE,TOTAL,0,0,10,18,0,16
2020-03-17,Brazil,PR,TOTAL,0,0,6,12,0,6
2020-03-17,Brazil,RJ,TOTAL,0,0,2,33,0,33
2020-03-17,Brazil,RN,TOTAL,0,0,0,1,0,1
2020-03-17,Brazil,RS,TOTAL,0,0,2,10,0,10
2020-03-17,Brazil,SC,TOTAL,0,0,0,7,0,7
2020-03-17,Brazil,SE,TOTAL,0,0,0,5,0,4
2020-03-17,Brazil,SP,TOTAL,1,1,12,164,1,164
2020-03-17,Brazil,TOTAL,TOTAL,1,1,54,333,1,291
2020-03-18,Brazil,AC,TOTAL,0,0,0,3,0,0
2020-03-18,Brazil,AL,TOTAL,0,0,0,1,0,1
2020-03-18,Brazil,AM,TOTAL,0,0,0,2,0,1
2020-03-18,Brazil,BA,TOTAL,0,0,13,27,0,3
2020-03-18,Brazil,CE,TOTAL,0,0,9,19,0,9
2020-03-18,Brazil,DF,TOTAL,0,0,12,34,0,26
2020-03-18,Brazil,ES,TOTAL,0,0,8,9,0,9
2020-03-18,Brazil,GO,TOTAL,0,0,2,12,0,8
2020-03-18,Brazil,MG,TOTAL,0,0,5,19,0,15
2020-03-18,Brazil,MS,TOTAL,0,0,1,7,0,7
2020-03-18,Brazil,PA,TOTAL,0,0,1,1,0,0
2020-03-18,Brazil,PB,TOTAL,0,0,1,1,0,0
2020-03-18,Brazil,PE,TOTAL,0,0,1,19,0,16
2020-03-18,Brazil,PR,TOTAL,0,0,3,15,0,13
2020-03-18,Brazil,RJ,TOTAL,0,0,30,63,0,45
2020-03-18,Brazil,RN,TOTAL,0,0,0,1,0,1
